If you believe it is the right one you can ignore this notice.,"Ukoliko verujete da je ispravno, možete ignorisati ovo obaveštenje.",theme,frontend/Hyva/default
Company,Kompanija,theme,frontend/Hyva/default
Street Address,Adresa,theme,frontend/Hyva/default
Delete,Obrisati,theme,frontend/Hyva/default
You have no other address entries in your address book.,Nemate više unosa u svom adresaru.,theme,frontend/Hyva/default
Are you sure you want to delete this address?,Jeste li sigurni da želite da obrišete ovu adresu?,theme,frontend/Hyva/default
Add New Address,Dodajte novu adresu,theme,frontend/Hyva/default
Back,Nazad,theme,frontend/Hyva/default
Please enter your email below and we will send you the confirmation link.,Molimo unesite email i poslaćemo vam link za potvrdu.,theme,frontend/Hyva/default
Send confirmation link,Pošalji potvrdni link,theme,frontend/Hyva/default
Back to Sign In,Natrag na Prijavu,theme,frontend/Hyva/default
Change Email,Promeni Mejl,theme,frontend/Hyva/default
Current Password,Trenutna lozinka,theme,frontend/Hyva/default
New Password,Nova lozinka,theme,frontend/Hyva/default
Password Strength,Jačina Šifre,theme,frontend/Hyva/default
No Password,Nema Šifre,theme,frontend/Hyva/default
Confirm New Password,Potvrdi Novu Šifru,theme,frontend/Hyva/default
Save,Sačuvaj,theme,frontend/Hyva/default
Please enter your email address below to receive a password reset link.,Molimo unesite email adresu ispod da biste dobili link za resetovanje lozinke.,theme,frontend/Hyva/default
Reset My Password,Resetovanje Lozinke,theme,frontend/Hyva/default
Login,Prijava,theme,frontend/Hyva/default
"If you have an account, sign in with your email address.","Ako imate Profil, prijavite se sa emailom.",theme,frontend/Hyva/default
Subscription option,Opcije pretplate,theme,frontend/Hyva/default
General Subscription,Opšte Postavke,theme,frontend/Hyva/default
Personal Information,Lične informacije,theme,frontend/Hyva/default
Sign Up for Newsletter,Prijavi se za Newsletter,theme,frontend/Hyva/default
Sign-in Information,Informacije o Prijavi,theme,frontend/Hyva/default
Confirm Password,Potvrda lozinke,theme,frontend/Hyva/default
Address Information,Informacija o Adresi,theme,frontend/Hyva/default
Set a New Password,Postavi novu lozinku,theme,frontend/Hyva/default
Weak,Slabo,theme,frontend/Hyva/default
Medium,Srednje,theme,frontend/Hyva/default
Strong,Jako,theme,frontend/Hyva/default
Very Strong,Veoma jako,theme,frontend/Hyva/default
New Customers,Novi kupac,theme,frontend/Hyva/default
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Kreiranje Profila ima mnogo prednosti: brzu proveru, lak pristup prethodnim porudžbinama, mogućnost kreiranja spiska adresa i podešavanja.",theme,frontend/Hyva/default
Fax,Faks,theme,frontend/Hyva/default
Currency,Valuta,theme,frontend/Hyva/default
My Downloadable Products,Moji Preuzimljivi Proizvodi,theme,frontend/Hyva/default
Date,Datum,theme,frontend/Hyva/default
Title,Naslov,theme,frontend/Hyva/default
